n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:226 R:0.999949 G:0.999956 B:0.999965 All:0.999957 (43.631546)
n:227 R:0.999947 G:0.999955 B:0.999963 All:0.999955 (43.497113)
n:228 R:0.997255 G:0.997375 B:0.997332 All:0.997321 (25.720104)
n:229 R:0.999949 G:0.999955 B:0.999964 All:0.999956 (43.534679)
n:230 R:0.999951 G:0.999957 B:0.999965 All:0.999958 (43.740445)
n:231 R:0.999950 G:0.999955 B:0.999965 All:0.999956 (43.613094)
n:232 R:0.999953 G:0.999956 B:0.999967 All:0.999959 (43.827467)
n:233 R:0.999950 G:0.999956 B:0.999967 All:0.999958 (43.766373)
n:234 R:0.999951 G:0.999958 B:0.999967 All:0.999959 (43.855712)
n:235 R:0.999951 G:0.999958 B:0.999968 All:0.999959 (43.907045)
n:236 R:0.999951 G:0.999958 B:0.999968 All:0.999959 (43.886979)
n:237 R:0.998257 G:0.998155 B:0.998160 All:0.998191 (27.424589)
n:238 R:0.999952 G:0.999957 B:0.999967 All:0.999959 (43.847683)
n:239 R:0.999950 G:0.999955 B:0.999964 All:0.999956 (43.596813)
n:240 R:0.999952 G:0.999956 B:0.999964 All:0.999957 (43.707818)
n:241 R:0.999951 G:0.999955 B:0.999963 All:0.999956 (43.593530)
n:242 R:0.999953 G:0.999956 B:0.999965 All:0.999958 (43.734511)
n:243 R:0.999952 G:0.999955 B:0.999964 All:0.999957 (43.645363)
n:244 R:0.999952 G:0.999955 B:0.999963 All:0.999957 (43.660469)
n:245 R:0.999951 G:0.999956 B:0.999964 All:0.999957 (43.664889)
n:246 R:0.999953 G:0.999955 B:0.999963 All:0.999957 (43.685436)
n:247 R:0.999953 G:0.999955 B:0.999963 All:0.999957 (43.668779)
n:248 R:0.999954 G:0.999955 B:0.999964 All:0.999958 (43.732267)
n:249 R:0.999952 G:0.999953 B:0.999963 All:0.999956 (43.598968)
n:250 R:0.999954 G:0.999954 B:0.999965 All:0.999958 (43.728087)
n:251 R:0.999952 G:0.999954 B:0.999963 All:0.999956 (43.579043)
n:252 R:0.999954 G:0.999955 B:0.999964 All:0.999958 (43.735717)
n:253 R:0.999952 G:0.999954 B:0.999963 All:0.999956 (43.591635)
n:254 R:0.999953 G:0.999954 B:0.999962 All:0.999956 (43.575182)
n:255 R:0.999952 G:0.999954 B:0.999961 All:0.999955 (43.514606)
n:256 R:0.999952 G:0.999954 B:0.999959 All:0.999955 (43.459525)
n:257 R:0.999951 G:0.999953 B:0.999960 All:0.999955 (43.436147)
n:258 R:0.999952 G:0.999952 B:0.999959 All:0.999955 (43.440455)
n:259 R:0.999953 G:0.999956 B:0.999961 All:0.999957 (43.640362)
n:260 R:0.999954 G:0.999955 B:0.999960 All:0.999956 (43.591179)
n:261 R:0.999949 G:0.999954 B:0.999960 All:0.999955 (43.423210)
n:262 R:0.999953 G:0.999954 B:0.999960 All:0.999956 (43.532551)
n:263 R:0.999951 G:0.999956 B:0.999960 All:0.999956 (43.520253)
n:264 R:0.999954 G:0.999956 B:0.999960 All:0.999957 (43.640568)
n:265 R:0.999951 G:0.999956 B:0.999960 All:0.999956 (43.549260)
n:266 R:0.999953 G:0.999956 B:0.999959 All:0.999956 (43.568796)
n:267 R:0.999952 G:0.999957 B:0.999960 All:0.999956 (43.596785)
n:268 R:0.999953 G:0.999955 B:0.999959 All:0.999956 (43.554434)
n:269 R:0.999952 G:0.999955 B:0.999959 All:0.999955 (43.506018)
n:270 R:0.999953 G:0.999955 B:0.999958 All:0.999956 (43.527664)
n:271 R:0.999950 G:0.999953 B:0.999957 All:0.999954 (43.345862)
n:272 R:0.999953 G:0.999954 B:0.999957 All:0.999955 (43.437798)
n:273 R:0.999950 G:0.999954 B:0.999955 All:0.999953 (43.281090)
n:274 R:0.999948 G:0.999953 B:0.999955 All:0.999952 (43.186886)
n:275 R:0.999946 G:0.999954 B:0.999955 All:0.999951 (43.129606)
n:276 R:0.999948 G:0.999953 B:0.999954 All:0.999952 (43.150321)
n:277 R:0.999947 G:0.999953 B:0.999956 All:0.999952 (43.213789)
n:278 R:0.999949 G:0.999952 B:0.999956 All:0.999952 (43.199225)
n:279 R:0.999950 G:0.999954 B:0.999957 All:0.999954 (43.346095)
n:280 R:0.999948 G:0.999953 B:0.999956 All:0.999952 (43.212051)
n:281 R:0.999948 G:0.999954 B:0.999957 All:0.999953 (43.284408)
n:282 R:0.999948 G:0.999954 B:0.999957 All:0.999953 (43.288349)
n:283 R:0.999949 G:0.999954 B:0.999957 All:0.999953 (43.293016)
n:284 R:0.999949 G:0.999954 B:0.999958 All:0.999953 (43.319478)
n:285 R:0.999947 G:0.999953 B:0.999958 All:0.999952 (43.222867)
n:286 R:0.999949 G:0.999954 B:0.999957 All:0.999954 (43.325543)
n:287 R:0.999952 G:0.999954 B:0.999958 All:0.999955 (43.447405)
n:288 R:0.999949 G:0.999952 B:0.999957 All:0.999953 (43.249304)
n:289 R:0.999950 G:0.999953 B:0.999960 All:0.999954 (43.417149)
n:290 R:0.999951 G:0.999953 B:0.999959 All:0.999954 (43.411586)
n:291 R:0.999953 G:0.999954 B:0.999961 All:0.999956 (43.589537)
n:292 R:0.999954 G:0.999955 B:0.999962 All:0.999957 (43.673488)
n:293 R:0.999953 G:0.999956 B:0.999962 All:0.999957 (43.669143)
n:294 R:0.999955 G:0.999958 B:0.999964 All:0.999959 (43.863031)
n:295 R:0.999953 G:0.999956 B:0.999962 All:0.999957 (43.695944)
n:296 R:0.999953 G:0.999957 B:0.999963 All:0.999958 (43.768492)
n:297 R:0.999952 G:0.999956 B:0.999962 All:0.999957 (43.653610)
n:298 R:0.999952 G:0.999957 B:0.999962 All:0.999957 (43.667934)
n:299 R:0.999952 G:0.999957 B:0.999963 All:0.999957 (43.692165)
n:300 R:0.999952 G:0.999957 B:0.999962 All:0.999957 (43.656560)
