n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:220 R:0.990059 G:0.990064 B:0.989914 All:0.990012 (20.005273)
n:221 R:0.990087 G:0.990091 B:0.989945 All:0.990041 (20.017748)
n:222 R:0.990083 G:0.990084 B:0.989919 All:0.990028 (20.012367)
n:223 R:0.990063 G:0.990067 B:0.989906 All:0.990012 (20.005231)
n:224 R:0.989992 G:0.989986 B:0.989809 All:0.989929 (19.969237)
n:225 R:0.989994 G:0.990002 B:0.989807 All:0.989935 (19.971652)
n:226 R:0.989941 G:0.989952 B:0.989777 All:0.989890 (19.952565)
n:227 R:0.990013 G:0.990020 B:0.989837 All:0.989957 (19.981281)
n:228 R:0.989970 G:0.989973 B:0.989765 All:0.989903 (19.957935)
n:229 R:0.989938 G:0.989939 B:0.989769 All:0.989882 (19.949135)
n:230 R:0.989984 G:0.989986 B:0.989823 All:0.989931 (19.970129)
n:231 R:0.989879 G:0.989904 B:0.989723 All:0.989835 (19.929130)
n:232 R:0.989950 G:0.989947 B:0.989740 All:0.989879 (19.947805)
n:233 R:0.989901 G:0.989892 B:0.989709 All:0.989834 (19.928470)
n:234 R:0.989864 G:0.989879 B:0.989726 All:0.989823 (19.923765)
n:235 R:0.989847 G:0.989824 B:0.989609 All:0.989760 (19.896951)
n:236 R:0.989937 G:0.989973 B:0.989785 All:0.989898 (19.955951)
n:237 R:0.990051 G:0.990093 B:0.989896 All:0.990013 (20.005817)
n:238 R:0.990026 G:0.990047 B:0.989850 All:0.989974 (19.988926)
n:239 R:0.990014 G:0.990032 B:0.989846 All:0.989964 (19.984400)
n:240 R:0.989991 G:0.990023 B:0.989823 All:0.989946 (19.976396)
n:241 R:0.990052 G:0.990096 B:0.989881 All:0.990010 (20.004255)
n:242 R:0.990037 G:0.990068 B:0.989872 All:0.989993 (19.996830)
n:243 R:0.989953 G:0.990004 B:0.989798 All:0.989918 (19.964664)
n:244 R:0.989990 G:0.990046 B:0.989856 All:0.989964 (19.984539)
